fullClauseName,text,cause_of_action_1
铜陵市雷电灾害防御管理办法第一条,为了加强雷电灾害的防御，避免、减轻雷电灾害造成的损失，保护人民生命财产安全，维护公共安全，促进经济社会发展，根据《中华人民共和国气象法》等法律、法规，结合本市实际，制定本办法。,无对应案由
铜陵市雷电灾害防御管理办法第二条,本办法适用于本市行政区域内雷电灾害防御活动。,无对应案由
铜陵市雷电灾害防御管理办法第三条,雷电灾害防御遵循“以人为本、安全第一、预防为主、防治结合”和“谁审批、谁负责、谁监管”的原则。,无对应案由
铜陵市雷电灾害防御管理办法第四条,市、县（区）人民政府应当加强对雷电灾害防御工作的组织、领导和协调，将其纳入安全生产考核体系，落实责任和措施，所需经费纳入本级财政预算。乡镇人民政府、政府派出机构、社区公共服务中心应当协助气象主管机构以及有关部门依法开展雷电灾害防御工作。,无对应案由
铜陵市雷电灾害防御管理办法第五条,市、县气象主管机构依法履行本行政区域内雷电灾害防御工作组织管理和防雷安全公共服务职责，根据本行政区域的地形、地质、地貌及雷电活动情况等因素，划分雷电易发区域及雷电灾害防范等级，做好雷电监测、预报预警、雷电灾害调查鉴定、防雷科普知识宣传等工作。发展改革、住房城乡建设、交通运输、水利、经济和信息化、应急管理、教育体育、文化旅游、卫生健康等部门按照职责分工，做好雷电灾害防御工作。,无对应案由
铜陵市雷电灾害防御管理办法第六条,市、县（区）人民政府及有关部门应当利用各类传播媒介，向社会宣传普及雷电灾害防御和应急自救知识，提高公众的雷电灾害防御意识和能力。县级以上人民政府教育行政部门应当督促学校将雷电灾害防御知识纳入课外教育内容，培养和提高学生的防范意识和自救互救能力。,无对应案由
铜陵市雷电灾害防御管理办法第七条,下列场所或者设施应当安装雷电防护装置：（一）建筑物防雷设计规范规定的一、二、三类防雷建筑物、构筑物；（二）石油、化工等易燃易爆物资的生产、储存、输送、销售等场所和设施；（三）电力生产设施和输配电系统；（四）计算机信息系统、通讯设施、广播电视设施、自动控制和监控设施；（五）国家规定应当安装雷电防护装置的其他场所和设施。,无对应案由
铜陵市雷电灾害防御管理办法第八条,新建、改建、扩建建（构）筑物、场所和设施的雷电防护装置，应当与主体工程同时设计、同时施工、同时投入使用。雷电防护装置的设计、施工、验收及检测应当执行国家有关标准和规范。房屋建筑工程和市政基础设施工程雷电防护装置的设计审核、竣工验收许可，整合纳入建筑工程施工图审查、竣工验收备案，由住房城乡建设部门监管。公路、水路、铁路、水利、电力、通信等建设工程的主管部门，负责相应领域内建设工程的防雷管理。,无对应案由
铜陵市雷电灾害防御管理办法第九条,下列建设工程安装雷电防护装置，应当经气象主管机构设计审核和竣工验收。未经设计审核或者设计审核不合格的，不得施工；未经竣工验收或者竣工验收不合格的，不得交付使用：（一）油库、气库、弹药库、化学品仓库和烟花爆竹、石化等易燃易爆建设工程和场所；（二）雷电易发区内的矿区、旅游景点或者投入使用的建（构）筑物、设施等需要单独安装雷电防护装置的场所；（三）雷电风险高且没有防雷标准规范、需要进行特殊论证的大型项目。,无对应案由
铜陵市雷电灾害防御管理办法第十条,投入使用的雷电防护装置的产权单位或者使用单位负责做好雷电防护装置的日常维护，委托具有相应资质的雷电防护装置检测机构进行定期检测。按照本办法第七条规定的石油、化工等易燃易爆物资的生产、储存、输送、销售等场所和设施的雷电防护装置检测周期为每半年一次，其他为每年一次。检测不合格的，雷电防护装置的产权单位或者使用单位，应当按照国家标准和规范要求进行整改。,无对应案由
铜陵市雷电灾害防御管理办法第十一条,雷电防护装置检测机构应当依法在资质等级许可的范围内从事检测活动，其从事雷电防护装置检测的技术人员，应当具备相应的检测能力，按照国家有关标准和技术规范开展检测活动。雷电防护装置检测机构对其出具的检测报告的真实性、准确性负责，禁止伪造、变造检测报告或者其数据、结果。,无对应案由
铜陵市雷电灾害防御管理办法第十二条,单位和个人遭受雷电灾害的，应当在24小时内报告当地气象主管机构。气象主管机构接到报告后应当及时组织调查和鉴定，作出雷电灾害调查报告。气象主管机构进行雷电灾害调查和鉴定时，有关单位和个人应当予以配合。,无对应案由
铜陵市雷电灾害防御管理办法第十三条,违反本办法规定的行为，法律、法规和规章已有法律责任规定的，从其规定。,无对应案由
铜陵市雷电灾害防御管理办法第十四条,本办法下列用语的含义是：（一）雷电灾害是指因直击雷、雷电感应、雷电感应的静电、雷电波侵入等造成的人员伤亡、财产损失。（二）雷电防护装置是指接闪器、引下线、接地装置、电涌保护器及其连接导体等构成的，用以防御雷电灾害的设施或者系统。,无对应案由
铜陵市雷电灾害防御管理办法第十五条,本办法自2024年3月1日起施行。,无对应案由
